id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
22,51 Eri,b,Imaging,1,,13.2,,,2,Mass,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,5.23,V (Johnson),,1.75,,14/08/15
23,51 Peg,b,Radial Velocity,1,4.230785,0.0527,0.013,,0.472,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,5.5,V (Johnson),5793,1.12,1.2,14/05/14
24,55 Cnc,b,Radial Velocity,5,14.65152,0.115227,0.0034,90,0.8306,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,29/10/14
25,55 Cnc,c,Radial Velocity,5,44.4175,0.241376,0.02,90,0.1714,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,29/10/14
26,55 Cnc,d,Radial Velocity,5,4825,5.503,0.019,90,3.878,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,29/10/14
27,55 Cnc,e,Radial Velocity,5,,0.01544,,83,0.02542,Mass,0.171,6.3,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,21/01/16
28,55 Cnc,f,Radial Velocity,5,262,0.788,0.305,90,0.141,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5.96,V (Johnson),5196,0.91,0.94,29/10/14
29,6 Lyn,b,Radial Velocity,1,874.774,2.18,0.125,,2.21,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,,,4978,1.7,5.2,03/09/15
30,61 Vir,b,Radial Velocity,3,4.215,0.050201,0.12,,0.016,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.74,V (Johnson),5577,0.94,0.96,14/05/14
31,61 Vir,c,Radial Velocity,3,38.021,0.2175,0.14,,0.057,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.74,V (Johnson),5577,0.94,0.96,14/05/14
32,61 Vir,d,Radial Velocity,3,123.01,0.476,0.35,,0.072,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,4.74,V (Johnson),5577,0.94,0.96,14/05/14
33,7 CMa,b,Radial Velocity,1,796,1.93,0.22,,2.46,Msini,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,3.92,V (Johnson),4792,1.52,2.3,22/10/15
34,70 Vir,b,Radial Velocity,1,116.6926,0.481,0.399,,7.4,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,4.98,V (Johnson),5439,1.09,1.94,24/04/15
35,75 Cet,b,Radial Velocity,1,691.9,2.1,0.117,,3,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,5.35,V (Johnson),4846,2.49,10.5,03/09/15
36,8 UMi,b,Radial Velocity,1,93.4,0.49,0.06,,1.5,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,6.83,V (Johnson),4847.4,1.8,9.9,15/10/15
37,81 Cet,b,Radial Velocity,1,952.7,2.5,0.206,,5.3,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,5.65,V (Johnson),4785,2.4,11,14/05/14
38,91 Aqr,b,Radial Velocity,1,181.4,0.7,0.027,,3.2,Msini,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,4.25,V (Johnson),4665,1.4,11,14/05/14
39,AB Pic,b,Imaging,1,,260,,,13.5,Mass,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,9.128,V (Johnson),,,,14/05/14
40,BD+14 4559,b,Radial Velocity,1,268.94,0.777,0.29,,1.47,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,9.63,V (Johnson),5008,0.86,0.95,14/05/14
41,BD+15 2375,b,Radial Velocity,1,153.22,0.576,0.001,,1.061,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,10.31,V (Johnson),4649,1.08,8.95,04/02/16
42,BD+15 2940,b,Radial Velocity,1,137.48,0.539,0.26,,1.11,Msini,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,175.44,9.046,V (Johnson),4796,1.1,14.7,14/05/14
43,BD+20 1790,b,Radial Velocity,1,7.78287,0.066,0.22,,6.37,Msini,,,0,0,0,0,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.4,,,4410,0.63,0.71,26/03/15
44,BD+20 2457,b,Radial Velocity,2,379.63,1.45,0.15,,21.42,Msini,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,9.75,V (Johnson),4137,2.8,49,14/05/14
45,BD+20 2457,c,Radial Velocity,2,621.99,2.01,0.18,,12.47,Msini,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,9.75,V (Johnson),4137,2.8,49,14/05/14
46,BD+20 274,b,Radial Velocity,1,578.2,1.3,0.21,,4.2,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,9.36,V (Johnson),4296,0.8,17.3,18/09/15
47,BD+48 738,b,Radial Velocity,1,392.6,1,0.2,,0.91,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,,9.14,V (Johnson),4414,0.74,11,13/08/15
48,BD+49 828,b,Radial Velocity,1,2590,4.2,0.35,,1.6,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,9.38,V (Johnson),4943,1.52,7.6,05/02/15
49,BD-06 1339,b,Radial Velocity,2,3.8728,0.0428,0,,0.027,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,9.7,V (Johnson),4324,0.7,,14/05/14
50,BD-06 1339,c,Radial Velocity,2,125.94,0.435,0.31,,0.17,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,9.7,V (Johnson),4324,0.7,,14/05/14
51,BD-08 2823,b,Radial Velocity,2,5.6,0.056,0.15,,0.045,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,9.88,V (Johnson),4746,0.74,,14/05/14
52,BD-08 2823,c,Radial Velocity,2,237.6,0.68,0.19,,0.33,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,9.88,V (Johnson),4746,0.74,,14/05/14
53,BD-10 3166,b,Radial Velocity,1,3.48777,0.0452,0.019,,0.458,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80,10.08,V (Johnson),5393,1.01,,27/08/14
54,BD-11 4672,b,Radial Velocity,1,1667,2.28,0.05,,0.53,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,9.99,V (Johnson),4475,0.57,0.52,08/01/15
55,BD-13 2130,b,Radial Velocity,1,714.3,2.1,0.21,,10.6,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766,9.45,V (Johnson),,2.4,,14/05/15
56,BD-17 63,b,Radial Velocity,1,655.6,1.34,0.54,,5.1,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,9.566,V (Johnson),4714,0.74,0.69,14/05/14
57,CFBDSIR J145829+101343,b,Imaging,1,10037.5,2.6,,,10.5,Mass,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,,,580.5,0.02,,14/05/14
58,CHXR 73,b,Imaging,1,,210,,,12.569,Mass,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,,,,,0.35,,14/05/14
59,CT Cha,b,Imaging,1,,440,,,17,Mass,2.2,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,,,,,,14/05/14
60,CoRoT-1,b,Transit,1,1.5089557,,0,85.1,1.03,Mass,1.49,0.38,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,,13.6,V (Johnson),5950,0.95,1.11,14/05/14
61,CoRoT-10,b,Transit,1,13.2406,0.1055,0.53,88.55,2.75,Mass,0.97,3.7,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,15.22,V (Johnson),5075,0.89,0.79,14/05/14
62,CoRoT-11,b,Transit,1,2.99433,0.0436,0,83.17,2.33,Mass,1.43,0.99,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,,,6440,1.27,1.37,14/05/14
63,CoRoT-12,b,Transit,1,2.828042,0.04016,0.07,85.48,0.917,Mass,1.44,0.411,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,15.515,V (Johnson),5675,1.08,1.12,14/05/14
64,CoRoT-13,b,Transit,1,4.03519,0.051,0,88.02,1.308,Mass,0.885,2.34,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,15.039,V (Johnson),5945,1.09,1.01,14/05/14
65,CoRoT-14,b,Transit,1,1.51214,0.027,0,79.6,7.6,Mass,1.09,7.3,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,16.033,V (Johnson),6035,1.13,1.21,14/05/14
66,CoRoT-16,b,Transit,1,5.35227,0.0618,0.33,85.01,0.535,Mass,1.17,0.44,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840,15.63,V (Johnson),5650,1.1,1.19,14/05/14
67,CoRoT-17,b,Transit,1,3.7681,0.0461,0,88.34,2.43,Mass,1.02,2.82,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920,15.46,V (Johnson),5740,1.04,1.59,14/05/14
68,CoRoT-18,b,Transit,1,1.9000693,0.0295,0.08,86.5,3.47,Mass,1.31,2.2,0,0,0,0,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870,15,V (Johnson),5440,0.95,1,14/05/14
69,CoRoT-19,b,Transit,1,3.89713,0.0518,0.047,88,1.11,Mass,1.29,0.71,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770,14.007,V (Johnson),6090,1.21,1.65,14/05/14
70,CoRoT-2,b,Transit,1,1.7429935,0.02798,0.0143,88.08,3.47,Mass,1.466,1.47,0,0,0,0,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200,12.57,V (Johnson),5625,0.96,0.91,14/05/14
71,CoRoT-20,b,Transit,1,9.24285,0.0902,0.562,88.21,4.24,Mass,0.84,8.87,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,1230,14.66,V (Johnson),5880,1.14,1.02,14/05/14
72,CoRoT-22,b,Transit,1,9.75598,0.092,0.077,89.749,0.038,Mass,0.435,0.249,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592,13.944,V (Johnson),5939,1.1,1.14,21/08/14
73,CoRoT-23,b,Transit,1,3.6313,0.048,0.16,85.7,2.8,Mass,1.05,3,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600,15.63,V (Johnson),5900,1.14,1.61,14/05/14
74,CoRoT-24,b,Transit,2,5.1134,0.056,0,86.5,0.018,Mass,0.33,0.9,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,,,4950,0.91,0.86,11/06/14
75,CoRoT-24,c,Transit,2,11.759,0.098,0,89,0.088,Mass,0.44,1.3,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,,,4950,0.91,0.86,11/06/14
76,CoRoT-25,b,Transit,1,4.86069,0.0578,0,84.5,0.27,Mass,1.08,0.15,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000,,,6040,1.09,1.19,14/05/14
77,CoRoT-26,b,Transit,1,4.20474,0.0526,0,86.8,0.52,Mass,1.26,0.28,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670,,,5590,1.09,1.79,14/05/14
78,CoRoT-27,b,Transit,1,3.57532,0.0476,0.065,86.7,10.39,Mass,1.007,12.6,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,,15.54,V (Johnson),5900,1.05,1.08,14/05/14
79,CoRoT-28,b,Transit,1,5.20851,0.0603,0.047,88.1,0.484,Mass,0.955,0.69,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560,,,5150,1.01,1.78,16/04/15
80,CoRoT-29,b,Transit,1,2.85057,0.0386,0.082,87.3,0.85,Mass,0.9,1.45,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765,,,5260,0.97,0.9,16/04/15
81,CoRoT-3,b,Transit,1,4.2568,,0,85.9,21.66,Mass,1.01,26.4,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680,,,6740,1.37,1.56,14/05/14
82,CoRoT-4,b,Transit,1,9.20205,0.09,0,90,0.72,Mass,1.19,0.525,0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,,,,6190,1.16,1.17,14/05/14
83,CoRoT-5,b,Transit,1,4.0378962,0.04947,0.09,85.83,0.467,Mass,1.388,0.217,0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,,,,6100,1,1.19,14/05/14
84,CoRoT-6,b,Transit,1,8.886593,0.0855,0.1,89.07,2.96,Mass,1.166,2.32,0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,,13.912,V (Johnson),6090,1.05,1.02,14/05/14
85,CoRoT-7,b,Transit,2,0.85359159,0.017016,0,80.78,0.018,Mass,0.141,7.5,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,11.668,V (Johnson),5259,0.91,0.82,05/03/15
86,CoRoT-7,c,Radial Velocity,2,3.698,0.046,0,80,0.02643,Mass,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,11.668,V (Johnson),5259,0.91,0.82,10/09/15
87,CoRoT-8,b,Transit,1,6.21229,0.063,0,88.4,0.22,Mass,0.57,1.6,0,0,0,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380,14.8,V (Johnson),5080,0.88,0.77,14/05/14
88,CoRoT-9,b,Transit,1,95.2738,0.407,0.11,89.99,0.84,Mass,1.05,0.9,0,0,0,0,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460,13.69,V (Johnson),5625,0.99,0.94,14/05/14
89,DENIS-P J082303.1-491201,b,Astrometry,1,246.36,0.36,0.345,56.6,28.5,Mass,,,0,0,0,0,08h23m03.13s,125.76305,-49d12m01.3s,-49.200359,20.77,,,,0.07,,14/05/14
90,DH Tau,b,Imaging,1,,330,,,11,Mass,,,0,0,0,1,04h29m41.56s,67.423158,+26d32m58.3s,26.54952,140,,,,0.33,0.27,14/05/14
91,DP Leo,b,Eclipse Timing Variations,1,10220,8.19,0.39,,6.05,Msini,,,0,0,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,0.69,,14/05/14
92,FU Tau,b,Imaging,1,,800,,,16,Mass,,,0,0,0,1,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140,,,2838,0.05,,10/03/16
93,Fomalhaut,b,Imaging,1,555530,160,0.87,55,,,,,0,0,0,2,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.69,1.16,V (Johnson),,2,,19/11/15
94,GJ 1132,b,Transit,1,1.62893,,0,,0.0051,Mass,0.103,6,0,0,0,1,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,13.49,V (Johnson),3270,0.18,0.21,12/11/15
95,GJ 1214,b,Transit,1,1.58040456,0.01411,,88.17,0.0197,Mass,0.254,1.49,0,0,0,3,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,,15.1,V (Johnson),3170,0.16,0.18,03/12/15
96,GJ 15 A,b,Radial Velocity,1,11.4433,0.0717,0,,0.017,Msini,,,0,0,0,0,00h18m22.89s,4.595356,+44d01m22.6s,44.022953,3.57,8.08,V (Johnson),3567,0.38,0.39,18/09/14
97,GJ 163,b,Radial Velocity,3,8.631,0.061,0.11,,0.035,Msini,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.81,V (Johnson),3500,0.4,,14/05/14
98,GJ 163,c,Radial Velocity,3,25.6,0.13,0.08,,0.024,Msini,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.81,V (Johnson),3500,0.4,,14/05/14
99,GJ 163,d,Radial Velocity,3,603,1,0.41,,0.079,Msini,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.81,V (Johnson),3500,0.4,,14/05/14
100,GJ 179,b,Radial Velocity,1,2288,2.41,0.21,,0.82,Msini,,,0,0,0,0,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.12,12,V (Johnson),3370,0.36,0.38,14/05/14
101,GJ 3021,b,Radial Velocity,1,133.71,0.49,0.511,,3.37,Msini,,,0,0,0,1,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.62,6.59,V (Johnson),5540,0.9,0.9,14/05/14
102,GJ 317,b,Radial Velocity,1,692,1.15,0.11,45,2.5,Mass,,,0,0,0,0,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,11.97,V (Johnson),3510,0.42,,27/08/14
103,GJ 328,b,Radial Velocity,1,4100,4.5,0.37,,2.3,Msini,,,0,0,0,0,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.03,9.97,V (Johnson),3900,0.69,,14/05/14
104,GJ 3293,b,Radial Velocity,2,30.6,0.1434,0.07,,0.081,Msini,,,0,0,0,0,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,,11.962,V (Johnson),3466,0.42,0.4,03/12/14
105,GJ 3293,c,Radial Velocity,2,123.75,0.364,0.33,,0.081,Msini,,,0,0,0,0,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,,11.962,V (Johnson),3466,0.42,0.4,03/12/14
106,GJ 3341,b,Radial Velocity,1,14.207,0.089,0.31,,0.0208,Msini,,,0,0,0,0,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,,12.08,V (Johnson),3526,0.47,0.44,03/12/14
107,GJ 3470,b,Radial Velocity,1,3.3366487,0.031,0.017,88.88,0.043,Mass,0.346,1.18,0,0,0,1,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,25.2,12.33,V (Johnson),3652,0.51,0.48,23/07/14
108,GJ 3634,b,Radial Velocity,1,2.64561,0.0287,0.08,59,0.026,Mass,,,0,0,0,0,10h58m35.10s,164.646242,-31d08m38.4s,-31.143989,19.8,11.93,V (Johnson),,0.45,0.43,21/08/14
109,GJ 433,b,Radial Velocity,1,7.3709,0.058,0.08,,0.018,Msini,,,0,0,0,0,11h35m26.95s,173.862289,-32d32m23.9s,-32.53997,9.04,9.806,V (Johnson),3600,0.48,,14/05/14
110,GJ 436,b,Radial Velocity,1,2.64388312,0.0291,0.13827,86.44,0.07,Mass,0.372,1.8,0,0,0,0,11h42m11.09s,175.546219,+26d42m23.7s,26.70657,10.23,10.67,V (Johnson),,0.47,0.46,05/02/15
111,GJ 504,b,Imaging,1,,43.5,,,4,Mass,,,0,0,0,0,13h16m46.52s,199.193817,+09d25m27.0s,9.424156,17.95,5.22,V (Johnson),6234,1.22,,14/05/14
112,GJ 581,b,Radial Velocity,3,5.3686,0.04061,0,,0.0497,Msini,,,0,0,0,0,15h19m26.82s,229.861771,-07d43m20.2s,-7.72228,6.27,10.56,V (Johnson),,0.31,0.29,09/07/14
113,GJ 581,c,Radial Velocity,3,12.914,0.0721,0,,0.0173,Msini,,,0,0,0,0,15h19m26.82s,229.861771,-07d43m20.2s,-7.72228,6.27,10.56,V (Johnson),,0.31,0.29,09/07/14
114,GJ 581,e,Radial Velocity,3,3.149,0.02815,0,,0.0053,Msini,,,0,0,0,0,15h19m26.82s,229.861771,-07d43m20.2s,-7.72228,6.27,10.56,V (Johnson),,0.31,0.29,09/07/14
115,GJ 649,b,Radial Velocity,1,598.3,1.135,0.3,,0.328,Msini,,,0,0,0,0,16h58m08.85s,254.53688,+25d44m39.0s,25.74416,10.32,9.69,V (Johnson),3700,0.54,,14/05/14
116,GJ 667 C,b,Radial Velocity,5,7.2004,0.0505,0.13,,0.018,Msini,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,10.22,V (Johnson),3350,0.33,,14/05/14
117,GJ 667 C,c,Radial Velocity,5,28.14,0.125,0.02,,0.012,Msini,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,10.22,V (Johnson),3350,0.33,,14/05/14
118,GJ 667 C,e,Radial Velocity,5,62.24,0.213,0.02,,0.008,Msini,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,10.22,V (Johnson),3350,0.33,,14/05/14
119,GJ 667 C,f,Radial Velocity,5,39.026,0.156,0.03,,0.008,Msini,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,10.22,V (Johnson),3350,0.33,,14/05/14
120,GJ 667 C,g,Radial Velocity,5,256.2,0.549,0.08,,0.014,Msini,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,10.22,V (Johnson),3350,0.33,,14/05/14
121,GJ 674,b,Radial Velocity,1,4.6938,0.039,0.2,,0.035,Msini,,,0,0,0,0,17h28m39.95s,262.166443,-46d53m42.7s,-46.895191,4.54,9.37,V (Johnson),3600,0.35,,14/05/14
122,GJ 676 A,b,Radial Velocity,3,1050.3,1.8,0.328,,4.95,Msini,,,0,0,0,0,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.13,9.58,V (Johnson),,0.71,,14/05/14
123,GJ 676 A,d,Radial Velocity,3,3.6,0.0413,0.15,,0.014,Msini,,,0,0,0,0,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.13,9.58,V (Johnson),,0.71,,14/05/14
